iter	Passed	Remaining
400	8014	11972
401	8020	11931
402	8038	11908
403	8049	11875
404	8053	11832
405	8064	11799
406	8159	11889
407	8164	11847
408	8175	11813
409	8180	11771
410	8196	11746
411	8200	11703
412	8234	11704
413	8238	11661
414	8242	11618
415	8252	11585
416	8257	11543
417	8288	11540
418	8292	11499
419	8314	11481
420	8318	11440
421	8328	11407
422	8332	11366
423	8343	11334
424	8348	11294
425	8359	11263
426	8380	11246
427	8388	11210
428	8398	11179
429	8403	11139
430	8407	11099
431	8417	11067
432	8436	11047
433	8447	11016
434	8451	10977
435	8455	10937
436	8459	10899
437	8470	10868
438	8477	10833
439	8496	10813
440	8500	10774
441	8504	10736
442	8514	10705
443	8545	10701
444	8556	10672
445	8560	10634
446	8567	10599
447	8574	10564
448	8658	10626
449	8672	10600
450	8683	10570
451	8688	10533
452	8722	10533
453	8736	10507
454	8832	10579
455	8837	10543
456	8848	10513
457	8854	10478
458	8865	10448
459	8869	10411
460	8880	10383
461	8930	10399
462	8934	10362
463	8945	10333
464	8951	10298
465	8964	10272
466	8968	10236
467	8978	10206
468	9009	10200
469	9015	10166
470	9027	10138
471	9030	10102
472	9041	10073
473	9045	10038
474	9056	10009
475	9060	9973
476	9079	9954
477	9123	9963
478	9160	9963
479	9171	9935
480	9174	9899
481	9185	9871
482	9189	9836
483	9193	9801
484	9206	9775
485	9241	9773
486	9255	9749
487	9259	9714
488	9265	9682
489	9277	9655
490	9283	9623
491	9328	9632
492	9332	9597
493	9343	9570
494	9349	9538
495	9354	9505
496	9358	9471
497	9375	9450
498	9388	9426
499	9403	9403
500	9407	9370
501	9419	9344
502	9422	9310
503	9433	9284
504	9437	9250
505	9448	9224
506	9454	9193
507	9464	9166
508	9468	9133
509	9498	9125
510	9502	9093
511	9514	9068
512	9518	9036
513	9530	9011
514	9543	8987
515	9548	8956
516	9559	8930
517	9598	8931
518	9609	8905
519	9615	8875
520	9618	8843
521	9630	8818
522	9634	8787
523	9643	8759
524	9652	8733
525	9656	8701
526	9687	8694
527	9705	8676
528	9713	8648
529	9719	8618
530	9723	8587
531	9734	8563
532	9739	8533
533	9778	8533
534	9791	8510
535	9795	8480
536	9800	8449
537	9804	8419
538	9808	8389
539	9856	8396
540	9868	8372
541	9872	8342
542	9884	8318
543	9888	8289
544	9900	8265
545	9904	8235
546	9951	8241
547	9963	8217
548	9968	8188
549	9982	8167
550	9993	8143
551	10006	8120
552	10012	8093
553	10024	8070
554	10028	8041
555	10035	8013
556	10045	7989
557	10049	7960
558	10053	7930
559	10113	7946
560	10125	7923
561	10130	7895
562	10144	7873
563	10150	7846
564	10162	7824
565	10167	7796
566	10185	7778
567	10190	7750
568	10202	7728
569	10207	7700
570	10239	7692
571	10250	7669
572	10265	7650
573	10269	7621
574	10279	7597
575	10283	7569
576	10287	7541
577	10297	7518
578	10301	7490
579	10309	7465
580	10336	7454
581	10340	7426
582	10354	7406
583	10358	7378
584	10371	7357
585	10375	7330
586	10388	7308
587	10398	7285
588	10403	7259
589	10433	7250
590	10439	7224
591	10445	7198
592	10456	7176
593	10460	7149
594	10464	7122
595	10470	7097
596	10478	7073
597	10519	7071
598	10528	7048
599	10534	7022
600	10548	7002
601	10551	6976
602	10563	6954
603	10568	6928
604	10581	6908
605	10595	6889
606	10600	6863
607	10613	6842
608	10622	6819
609	10626	6794
610	10631	6768
611	10642	6746
612	10646	6721
613	10658	6700
614	10663	6675
615	10672	6652
616	10689	6635
617	10703	6615
618	10707	6590
619	10710	6564
620	10721	6543
621	10725	6517
622	10737	6497
623	10742	6473
624	10747	6448
625	10751	6423
626	10760	6401
627	10765	6377
628	10781	6359
629	10785	6334
630	10789	6309
631	10793	6284
632	10803	6263
633	10807	6238
634	10818	6218
635	10822	6193
636	10826	6169
637	10837	6149
638	10868	6140
639	10874	6116
640	10884	6095
641	10887	6071
642	10898	6050
643	10903	6027
644	10912	6006
645	10916	5981
646	10931	5964
647	10970	5959
648	10982	5939
649	10994	5919
650	10997	5895
651	11000	5871
652	11007	5849
653	11012	5826
654	11018	5803
655	11022	5779
656	11025	5756
657	11028	5732
658	11037	5711
659	11044	5689
660	11050	5667
661	11053	5643
662	11064	5624
663	11067	5600
664	11070	5576
665	11086	5559
666	11095	5539
667	11098	5516
668	11101	5492
669	11110	5472
670	11113	5449
671	11116	5425
672	11125	5405
673	11129	5383
674	11144	5366
675	11158	5347
676	11161	5325
677	11164	5302
678	11167	5279
679	11170	5256
680	11181	5237
681	11183	5214
682	11186	5192
683	11194	5171
684	11197	5149
685	11200	5126
686	11203	5104
687	11213	5085
688	11224	5066
689	11231	5045
690	11234	5023
691	11243	5004
692	11246	4982
693	11249	4960
694	11259	4941
695	11263	4919
696	11266	4897
697	11277	4879
698	11280	4857
699	11289	4838
700	11292	4816
701	11294	4794
702	11302	4775
703	11307	4754
704	11355	4751
705	11358	4730
706	11361	4708
707	11371	4690
708	11375	4668
709	11382	4649
710	11386	4628
711	11389	4606
712	11392	4585
713	11401	4567
714	11404	4546
715	11407	4524
716	11418	4506
717	11431	4489
718	11436	4469
719	11439	4448
720	11464	4436
721	11468	4416
722	11472	4395
723	11478	4375
724	11489	4358
725	11492	4337
726	11497	4317
727	11546	4314
728	11557	4296
729	11575	4281
730	11593	4266
731	11609	4250
732	11615	4231
733	11628	4214
734	11632	4193
735	11643	4176
736	11647	4156
737	11658	4139
738	11662	4119
739	11678	4103
740	11686	4084
741	11691	4065
742	11707	4049
743	11711	4029
744	11722	4012
745	11725	3992
746	11728	3972
747	11731	3952
748	11734	3932
749	11745	3915
750	11748	3895
751	11752	3875
752	11764	3858
753	11774	3841
754	11780	3822
755	11801	3808
756	11816	3793
757	11847	3782
758	11856	3764
759	11862	3745
760	11914	3742
761	11926	3725
762	11930	3705
763	11941	3688
764	11956	3672
765	11961	3653
766	11990	3642
767	11994	3623
768	12005	3606
769	12008	3586
770	12011	3567
771	12020	3550
772	12023	3530
773	12035	3514
774	12040	3495
775	12053	3479
776	12056	3460
777	12064	3442
778	12070	3424
779	12085	3408
780	12088	3389
781	12099	3372
782	12102	3353
783	12105	3335
784	12114	3317
785	12117	3299
786	12120	3280
787	12130	3263
788	12133	3244
789	12136	3226
790	12145	3209
791	12148	3190
792	12152	3172
793	12157	3154
794	12161	3135
795	12166	3118
796	12169	3099
797	12179	3083
798	12182	3064
799	12185	3046
800	12196	3030
801	12201	3012
802	12211	2995
803	12214	2977
804	12217	2959
805	12227	2943
806	12230	2924
807	12234	2907
808	12239	2889
809	12251	2873
810	12256	2856
811	12286	2844
812	12291	2827
813	12302	2811
814	12305	2793
815	12316	2777
816	12319	2759
817	12322	2741
818	12330	2725
819	12347	2710
820	12353	2693
821	12364	2677
822	12367	2659
823	12370	2642
824	12375	2625
825	12378	2607
826	12381	2589
827	12384	2572
828	12387	2555
829	12390	2537
830	12401	2522
831	12415	2506
832	12439	2493
833	12444	2477
834	12455	2461
835	12459	2444
836	12473	2429
837	12476	2411
838	12480	2394
839	12483	2377
840	12485	2360
841	12494	2344
842	12499	2327
843	12513	2312
844	12516	2295
845	12531	2281
846	12539	2265
847	12543	2248
848	12546	2231
849	12555	2215
850	12558	2198
851	12561	2182
852	12570	2166
853	12573	2149
854	12576	2132
855	12579	2116
856	12582	2099
857	12585	2082
858	12587	2066
859	12593	2050
860	12596	2033
861	12601	2017
862	12606	2001
863	12609	1984
864	12618	1969
865	12621	1953
866	12624	1936
867	12633	1921
868	12637	1905
869	12654	1890
870	12668	1876
871	12682	1861
872	12685	1845
873	12688	1829
874	12698	1814
875	12701	1797
876	12704	1781
877	12713	1766
878	12716	1750
879	12719	1734
880	12728	1719
881	12731	1703
882	12734	1687
883	12744	1672
884	12747	1656
885	12751	1640
886	12757	1625
887	12760	1609
888	12766	1594
889	12769	1578
890	12778	1563
891	12781	1547
892	12784	1531
893	12792	1516
894	12795	1501
895	12798	1485
896	12801	1469
897	12805	1454
898	12811	1439
899	12815	1423
900	12819	1408
901	12829	1393
902	12833	1378
903	12846	1364
904	12850	1348
905	12859	1334
906	12862	1318
907	12865	1303
908	12874	1288
909	12877	1273
910	12880	1258
911	12882	1243
912	12888	1228
913	12891	1212
914	12900	1198
915	12903	1183
916	12907	1168
917	12913	1153
918	12924	1139
919	12930	1124
920	12933	1109
921	12946	1095
922	12949	1080
923	12961	1066
924	12964	1051
925	12972	1036
926	12975	1021
927	12978	1006
928	12981	992
929	12984	977
930	12987	962
931	12997	948
932	13004	933
933	13020	920
934	13037	906
935	13056	892
936	13065	878
937	13068	863
938	13071	849
939	13081	834
940	13083	820
941	13099	806
942	13113	792
943	13117	778
944	13127	764
945	13130	749
946	13133	735
947	13142	720
948	13145	706
949	13148	692
950	13158	677
951	13161	663
952	13164	649
953	13174	635
954	13177	620
955	13181	606
956	13186	592
957	13201	578
958	13208	564
959	13215	550
960	13218	536
961	13221	522
962	13224	508
963	13227	493
964	13236	480
965	13241	466
966	13251	452
967	13255	438
968	13257	424
969	13289	411
970	13301	397
971	13304	383
972	13307	369
973	13311	355
974	13315	341
975	13322	327
976	13327	313
977	13330	299
978	13333	286
979	13342	272
980	13345	258
981	13347	244
982	13357	231
983	13360	217
984	13363	203
985	13374	189
986	13391	176
987	13395	162
988	13406	149
989	13409	135
990	13418	121
991	13421	108
992	13424	94
993	13440	81
994	13458	67
995	13489	54
996	13500	40
997	13503	27
998	13506	13
999	13514	0
